intent,utterance
my_cashback,How to check if I got cashback?
my_cashback,Where to see if cashback credited?
my_cashback,Can I find my cashback in transaction history?
my_cashback,What if I can't find cashback in my account?
my_cashback,How to confirm if I received cashback?
my_cashback,Where can I verify my cashback?
my_cashback,Can I ensure cashback reflected in my account?
my_cashback,How to check if cashback credited to me?
my_cashback,Where can I find cashback details?
my_cashback,What if I don't see cashback in my transactions?
qualify_cashback,How do I qualify for cashback?
qualify_cashback,What transactions are eligible for cashback?
qualify_cashback,Where can I find details about cashback eligibility?
qualify_cashback,How can I check if my transaction qualifies for cashback?
qualify_cashback,What are the requirements to get cashback?
qualify_cashback,Which purchases earn cashback?
qualify_cashback,Can you tell me how to get cashback?
qualify_cashback,Where can I learn more about the cashback program?
qualify_cashback,What do I need to do to be eligible for cashback?
qualify_cashback,Can you provide information on qualifying transactions for cashback?
cashback_program,Is there a cap on cashback amount?
cashback_program,What is the maximum cashback I can receive?
cashback_program,Can you tell me if there's a limit on cashback?
cashback_program,Is there a restriction on the cashback amount?
cashback_program,What's the highest cashback I can get?
cashback_program,Can you confirm if there's a cap on cashback?
cashback_program,Is there a maximum limit for cashback?
cashback_program,How much cashback can I earn?
cashback_program,Can you provide details on the cashback cap?
cashback_program,What's the maximum amount of cashback allowed?
eligible_debit_card,Am I eligible for a debit card?
eligible_debit_card,What are the requirements to get a debit card?
eligible_debit_card,How do I know if I can get a debit card?
eligible_debit_card,Can you tell me if I qualify for a debit card?
eligible_debit_card,What do I need to apply for a debit card?
eligible_debit_card,Am I eligible for a debit card if I'm a foreigner?
eligible_debit_card,What are the criteria for getting a debit card?
eligible_debit_card,Can you confirm if I meet the criteria for a debit card?
eligible_debit_card,How can I find out if I'm eligible for a debit card?
eligible_debit_card,What documents do I need to apply for a debit card?
eligible_credit_card,Am I eligible for a credit card?
eligible_credit_card,What are the requirements for a credit card?
eligible_credit_card,How do I know if I can get a credit card?
eligible_credit_card,Can you tell me if I qualify for a credit card?
eligible_credit_card,What do I need to apply for a credit card?
eligible_credit_card,Am I eligible for a credit card if I'm a foreigner?
eligible_credit_card,What are the criteria for getting a credit card?
eligible_credit_card,Can you confirm if I meet the criteria for a credit card?
eligible_credit_card,How can I find out if I'm eligible for a credit card?
eligible_credit_card,What documents do I need to apply for a credit card?
apply_card,What do I need to apply for a card?
apply_card,What documents are required for application?
apply_card,Can you tell me what I need to prepare?
apply_card,What are the application requirements?
apply_card,What documents do I need to provide?
apply_card,Am I missing any documents for application?
apply_card,Can you confirm the documents needed?
apply_card,How can I find out what's required for application?
apply_card,What do I need to bring to apply?
apply_card,Where can I get the list of required documents?
apply_card_duration,How long does it take to process?
apply_card_duration,Can you tell me the processing time?
apply_card_duration,How many days does it usually take?
apply_card_duration,What's the waiting period for approval?
apply_card_duration,How long before I receive a response?
apply_card_duration,Can you provide an estimate of the processing time?
apply_card_duration,When can I expect a decision?
apply_card_duration,What's the typical turnaround time?
apply_card_duration,How much time should I expect for processing?
apply_card_duration,When will I hear back about my application?
apply_card_turned dow,Why was my application rejected?
apply_card_turned dow,Can you explain why my application was denied?
apply_card_turned dow,What caused my application to be turned down?
apply_card_turned dow,Can you tell me the reason for my application being declined?
apply_card_turned dow,Why was my application unsuccessful?
apply_card_turned dow,What factors led to my application being rejected?
apply_card_turned dow,Can you provide insight into why my application wasn't approved?
apply_card_turned dow,What led to my application not being accepted?
apply_card_turned dow,Can you shed light on the reason for my application being turned down?
apply_card_turned dow,Why did my application fail?
apply_card_status,Can I check my application status?
apply_card_status,How do I view my application status?
apply_card_status,Where can I see the status of my application?
apply_card_status,Is there a way to check my application progress?
apply_card_status,How can I find out the status of my application?
apply_card_status,Can I track my application status?
apply_card_status,Where do I go to check my application status?
apply_card_status,How do I know the status of my application?
apply_card_status,Is it possible to see if my application is processed?
apply_card_status,Where can I find updates on my application status?
reward_card,What's DBS Rewards all about?
reward_card,Can you tell me about DBS Rewards?
reward_card,What exactly is DBS Rewards?
reward_card,Can you explain DBS Rewards to me?
reward_card,What are the benefits of DBS Rewards?
reward_card,How does DBS Rewards work?
reward_card,Can you give me information on DBS Rewards?
reward_card,What can I get with DBS Rewards?
reward_card,Can you elaborate on DBS Rewards?
reward_card,Can you provide details about DBS Rewards?
qualify_DBS_Points,How can I qualify for DBS Points?
qualify_DBS_Points,What's needed to earn DBS Points?
qualify_DBS_Points,Am I eligible for DBS Points?
qualify_DBS_Points,How do I get DBS Points?
qualify_DBS_Points,Can you tell me about DBS Points eligibility?
qualify_DBS_Points,What's required to be eligible for DBS Points?
qualify_DBS_Points,Do all DBS Credit Cardmembers qualify for DBS Points?
qualify_DBS_Points,What cards are not eligible for DBS Points?
qualify_DBS_Points,Which cards are excluded from DBS Points Redemption Programme?
qualify_DBS_Points,Can you clarify which cards qualify for DBS Points?
earn_points,How can I accumulate points?
earn_points,What's the method to earn points?
earn_points,Can you explain how to earn points?
earn_points,How do I get points?
earn_points,What's the process for earning points?
earn_points,How can I start earning points?
earn_points,Can you tell me about point accumulation?
earn_points,What actions result in earning points?
earn_points,How do transactions contribute to points?
earn_points,Can you clarify how points are earned?
accelerated_points,How do I earn more points quickly?
accelerated_points,Can you explain how to get accelerated points?
accelerated_points,What's the method for earning points faster?
accelerated_points,How can I accumulate points at a faster rate?
accelerated_points,Can you tell me how to earn points more quickly?
accelerated_points,What actions lead to earning points faster?
accelerated_points,How do I maximize my points accumulation?
accelerated_points,Can you provide details on earning accelerated points?
accelerated_points,What are the ways to earn points at a higher rate?
accelerated_points,Can you clarify how to earn points faster?
do_not_earn_points,Which transactions don't earn points?
do_not_earn_points,Are there any payments that won't get me points?
do_not_earn_points,Can you tell me which transactions won't earn points?
do_not_earn_points,What types of transactions are excluded from earning points?
do_not_earn_points,Are there any payments that won't count towards points?
do_not_earn_points,Can you clarify which transactions won't accrue points?
do_not_earn_points,Which payments won't contribute to earning points?
do_not_earn_points,Can you explain which transactions won't be rewarded with points?
do_not_earn_points,What kinds of transactions are ineligible for points?
do_not_earn_points,Are there any exclusions for earning points on transactions?
DBS_point_usage,What can I use my DBS points for?
DBS_point_usage,Can you tell me what I can do with my DBS points?
DBS_point_usage,What are the options for redeeming my DBS points?
DBS_point_usage,How can I utilize my DBS points?
DBS_point_usage,What rewards can I get with my DBS points?
DBS_point_usage,Can you explain what I can exchange my DBS points for?
DBS_point_usage,What can I get in exchange for my DBS points?
DBS_point_usage,What are the benefits of my DBS points?
DBS_point_usage,How do I redeem my DBS points?
DBS_point_usage,What's available for me to do with my DBS points?
cardmembers_earn_points,Do Supplementary Cardholders earn points?
cardmembers_earn_points,Can Supplementary Cardmembers accumulate points?
cardmembers_earn_points,Can you tell me if Supplementary Cardholders get points?
cardmembers_earn_points,Do points accrue for Supplementary Cardmembers?
cardmembers_earn_points,Are points earned by Supplementary Cardholders?
cardmembers_earn_points,How do Supplementary Cardmembers earn points?
cardmembers_earn_points,Can Supplementary Cardholders redeem points?
cardmembers_earn_points,Do points go to the Principal Cardmember's account?
cardmembers_earn_points,Can Supplementary Cardholders use Rewards Vouchers?
cardmembers_earn_points,Are Supplementary Cardmembers eligible for rewards?
redeem_point,How can I find out my points balance and redeem them?
redeem_point,Where do I check my points balance and redeem them?
redeem_point,What's the process for checking my points and redeeming them?
redeem_point,Can you tell me how to see my points and redeem them?
redeem_point,How do I know how many points I have and how to use them?
redeem_point,Where can I see my points balance and redeem them?
redeem_point,What's the procedure for checking my points and making a redemption?
redeem_point,How do I check my available points and redeem them?
redeem_point,Where do I go to view my points and redeem them?
redeem_point,How can I check my points and make a redemption?
receive_card,When can I expect to receive my voucher(s)?
receive_card,How long does it take to get my voucher(s)?
receive_card,When will my voucher(s) be delivered?
receive_card,Can you tell me when I'll receive my voucher(s)?
receive_card,How many days does it take to process and deliver my voucher(s)?
receive_card,What's the timeline for receiving my voucher(s)?
receive_card,When can I anticipate getting my voucher(s)?
receive_card,How much time will it take to process and deliver my voucher(s)?
receive_card,When will I get my voucher(s) after redemption?
receive_card,How soon can I expect my voucher(s) to arrive?
exchange_vouchers,Can I swap vouchers or extend the expiry date?
exchange_vouchers,Is it possible to exchange vouchers or prolong the expiry date?
exchange_vouchers,Can I change vouchers or extend their validity?
exchange_vouchers,Am I allowed to exchange vouchers or extend their expiry?
exchange_vouchers,Can I exchange vouchers or push back the expiry date?
exchange_vouchers,Is there an option to swap vouchers or prolong their validity?
exchange_vouchers,Can I trade vouchers or extend their expiry?
exchange_vouchers,Am I able to exchange vouchers or extend their expiry?
exchange_vouchers,Can I switch vouchers or delay their expiry?
exchange_vouchers,Is there a way to exchange vouchers or extend their validity?
DBS_poinnt_pay_for_annual_fee,Can I use my DBS Points to pay my Credit Card's annual fee?
DBS_poinnt_pay_for_annual_fee,Is it possible to use my DBS Points for my Credit Card's annual fee?
DBS_poinnt_pay_for_annual_fee,Can I redeem my DBS Points to cover my Credit Card's annual fee?
DBS_poinnt_pay_for_annual_fee,How do I use my DBS Points to pay my Credit Card's annual fee?
DBS_poinnt_pay_for_annual_fee,Is there a way to use my DBS Points to waive my Credit Card's annual fee?
DBS_poinnt_pay_for_annual_fee,Can DBS Points be utilized to pay off my Credit Card's annual fee?
DBS_poinnt_pay_for_annual_fee,Can I redeem my DBS Points to avoid paying my Credit Card's annual fee?
DBS_poinnt_pay_for_annual_fee,How can I redeem my DBS Points for my Credit Card's annual fee?
DBS_poinnt_pay_for_annual_fee,Is there an option to use my DBS Points to offset my Credit Card's annual fee?
DBS_poinnt_pay_for_annual_fee,Can I apply my DBS Points towards my Credit Card's annual fee?
convert_DBS_point,How do I convert DBS Points to air miles?
convert_DBS_point,What's the process for converting DBS Points to air miles?
convert_DBS_point,Can you tell me how to change DBS Points to air miles?
convert_DBS_point,How can I exchange my DBS Points for air miles?
convert_DBS_point,Is there a way to convert DBS Points into air miles?
convert_DBS_point,How do I redeem DBS Points for air miles?
convert_DBS_point,What's the method to convert DBS Points to air miles?
convert_DBS_point,Can you explain how to turn DBS Points into air miles?
convert_DBS_point,Where can I find the option to convert DBS Points to air miles?
convert_DBS_point,How long does it take to convert DBS Points to air miles?
DBS_Online_Rewards,What is DBS Online Rewards about?
DBS_Online_Rewards,Can you explain DBS Online Rewards?
DBS_Online_Rewards,What's the deal with DBS Online Rewards?
DBS_Online_Rewards,Can you tell me about DBS Online Rewards?
DBS_Online_Rewards,What's DBS Online Rewards all about?
DBS_Online_Rewards,Can you clarify DBS Online Rewards for me?
DBS_Online_Rewards,How does DBS Online Rewards work?
DBS_Online_Rewards,Can you give me details on DBS Online Rewards?
DBS_Online_Rewards,Where can I find DBS Online Rewards?
DBS_Online_Rewards,What's available on DBS Online Rewards?
login_redeem,How do I log in to redeem?
login_redeem,What's the login process for redemption?
login_redeem,Can you tell me how to access redemption?
login_redeem,How do I sign in to redeem my rewards?
login_redeem,What's the procedure for logging in to redeem?
login_redeem,Can you explain how to login for redemption?
login_redeem,How do I access redemption after logging in?
login_redeem,What's the method to log in for redemption?
login_redeem,How can I redeem after logging in?
login_redeem,What's the login method for redemption?
redeem_point,Can I redeem my points online if I'm not an existing DBS iBanking customer?
redeem_point,What if I'm not already registered with DBS iBanking; can I still redeem my points online?
redeem_point,I'm not currently using DBS iBanking; can I redeem my points online?
redeem_point,Can I still access online redemption if I'm not already using DBS iBanking?
redeem_point,"If I don't have a DBS iBanking account, can I still redeem my points online?"
redeem_point,What's the process for redemption online if I'm not an existing DBS iBanking customer?
redeem_point,"If I'm not registered with DBS iBanking, can I still redeem my points online?"
redeem_point,Can I sign up for online redemption without being an existing DBS iBanking user?
redeem_point,What should I do if I'm not already using DBS iBanking but want to redeem my points online?
redeem_point,Is it possible to redeem points online without an existing DBS iBanking account?
access_online_rewards_website,Can I access the DBS Online Rewards website if I'm not a DBS Cardmember?
access_online_rewards_website,"If I don't have a DBS credit card, can I still use the DBS Online Rewards website?"
access_online_rewards_website,Am I allowed to visit the DBS Online Rewards website without being a DBS Cardmember?
access_online_rewards_website,Can I browse the DBS Online Rewards website without having a DBS credit card?
access_online_rewards_website,What if I'm not a DBS Cardmember; can I still check out the DBS Online Rewards website?
access_online_rewards_website,Is it possible to view the DBS Online Rewards website if I'm not a DBS Cardmember?
access_online_rewards_website,Am I eligible to access the DBS Online Rewards website if I don't have a DBS credit card?
access_online_rewards_website,Can I visit the DBS Online Rewards website even if I'm not a DBS Cardmember?
access_online_rewards_website,Is it okay for me to browse the DBS Online Rewards website without having a DBS credit card?
access_online_rewards_website,What should I do if I'm not a DBS Cardmember but want to access the DBS Online Rewards website?
redeem_online_rewards_website,How do I redeem DBS Points if I have more than one DBS Credit Card?
redeem_online_rewards_website,"If I own multiple DBS Credit Cards, how can I redeem my DBS Points on this rewards site?"
redeem_online_rewards_website,What's the process for redeeming DBS Points if I have multiple DBS Credit Cards?
redeem_online_rewards_website,Can I still redeem DBS Points if I have more than one DBS Credit Card?
redeem_online_rewards_website,How do I access redemption if I have multiple DBS Credit Cards?
redeem_online_rewards_website,"If I possess more than one DBS Credit Card, how can I redeem my DBS Points?"
redeem_online_rewards_website,What should I do if I have more than one DBS Credit Card and want to redeem my DBS Points?
redeem_online_rewards_website,Can I consolidate my DBS Points from multiple DBS Credit Cards for redemption?
redeem_online_rewards_website,How do I redeem DBS Points from all my DBS Credit Cards on this rewards site?
redeem_online_rewards_website,Is it possible to redeem DBS Points from multiple DBS Credit Cards at once?
change_billing_address,How do I change the billing address in my account?
change_billing_address,Can I update my billing address on this site?
change_billing_address,Is it possible to modify the billing address displayed in my account?
change_billing_address,How can I change the billing address shown in my account?
change_billing_address,Can I alter my billing address here?
change_billing_address,Is there a way to change my billing address through this site?
change_billing_address,What should I do to update my billing address?
change_billing_address,Can I edit the billing address on this website?
change_billing_address,How do I update my billing address?
change_billing_address,Is it allowed to change the billing address on this platform?
credit_card_redeemption,Are all my DBS Credit Cards valid for redemption here?
credit_card_redeemption,Can I redeem points from all my DBS Credit Cards on this site?
credit_card_redeemption,Are all my DBS Credit Cards eligible for redemption?
credit_card_redeemption,Which DBS Credit Cards can I redeem points from on this website?
credit_card_redeemption,Are there any DBS Credit Cards ineligible for redemption here?
credit_card_redeemption,Can I use all my DBS Credit Cards for redemption?
credit_card_redeemption,Which DBS Credit Cards qualify for redemption on this site?
credit_card_redeemption,Are there any DBS Credit Cards excluded from redemption?
credit_card_redeemption,Can I redeem points from any DBS Credit Card here?
credit_card_redeemption,Which DBS Credit Cards are not eligible for redemption on this website?
vide_DBS_point,How do I check my DBS Points and expiry date?
vide_DBS_point,Where can I view my DBS Points and their expiry dates?
vide_DBS_point,How can I see my DBS Points and when they expire?
vide_DBS_point,Is there a way to check my DBS Points and expiry date?
vide_DBS_point,How do I find out my DBS Points and when they expire?
vide_DBS_point,Can you show me my DBS Points and their expiry dates?
vide_DBS_point,Where do I go to see my DBS Points and expiry date?
vide_DBS_point,How can I check my DBS Points and when they'll expire?
vide_DBS_point,What's the process for viewing my DBS Points and their expiry dates?
vide_DBS_point,How do I access my DBS Points and find out when they expire?
search_rewards,How can I look for rewards?
search_rewards,What's the process for searching rewards?
search_rewards,How do I find specific rewards?
search_rewards,Can you guide me on searching for rewards?
search_rewards,How do I search for rewards on this site?
search_rewards,Where's the search option for rewards?
search_rewards,Can you help me find rewards?
search_rewards,What's the best way to find rewards?
search_rewards,How can I search for rewards efficiently?
search_rewards,Where can I search for rewards?
redeem_for_items,How do I go about redeeming items?
redeem_for_items,What's the process for redeeming items?
redeem_for_items,Can you guide me on redeeming items?
redeem_for_items,How do I redeem items from the rewards site?
redeem_for_items,What's the procedure for redeeming items?
redeem_for_items,How can I redeem items?
redeem_for_items,What's the step-by-step process for redeeming items?
redeem_for_items,How do I add items to my cart for redemption?
redeem_for_items,Can you explain how to redeem items?
redeem_for_items,What's the method to redeem items on the site?
delete_shopping_cart,How do I remove something from my cart?
delete_shopping_cart,Can you help me delete an item from my cart?
delete_shopping_cart,What's the process to delete an item from the shopping cart?
delete_shopping_cart,How can I remove an item from my shopping cart?
delete_shopping_cart,What do I do if I want to delete something from my cart?
delete_shopping_cart,Can you guide me on deleting an item from my cart?
delete_shopping_cart,How do I take something out of my cart?
delete_shopping_cart,What's the method to remove an item from the shopping cart?
delete_shopping_cart,Can you explain how to delete an item from the cart?
delete_shopping_cart,What's the step-by-step process for removing items from the cart?
take_to_redeem,How long after spending on my card can I redeem points?
take_to_redeem,When will my credit card points be available for redemption?
take_to_redeem,How soon can I redeem points after using my credit card?
take_to_redeem,What's the waiting time to redeem points after making a credit card transaction?
take_to_redeem,When can I expect my credit card points to be updated for redemption?
take_to_redeem,How much time does it take for credit card points to reflect for redemption?
take_to_redeem,"After swiping my card, when can I start redeeming points?"
take_to_redeem,What's the timeframe for redeeming points after using my credit card?
take_to_redeem,Can you tell me when I can redeem points after using my credit card?
take_to_redeem,How long does it usually take for credit card transactions to be eligible for point redemption?
paymant_method,What are the payment methods available?
paymant_method,Can you list the payment options I have?
paymant_method,How can I pay for my transactions?
paymant_method,What are the available payment methods?
paymant_method,Tell me about the payment options.
paymant_method,What payment methods do you accept?
paymant_method,Which methods can I use to make payments?
paymant_method,Can you explain the payment methods?
paymant_method,How can I settle my transactions?
paymant_method,What are my options for making payments?
interest_free,How long is the interest-free period for purchases?
interest_free,When is the interest-free period for my purchases?
interest_free,Can you tell me about the interest-free days?
interest_free,How many days do I have without interest on purchases?
interest_free,What's the grace period for interest-free purchases?
interest_free,How long do I have to pay without incurring interest?
interest_free,Tell me about the interest-free period on my purchases.
interest_free,When does the interest-free period end?
interest_free,How much time do I have before interest charges apply?
interest_free,Can you explain the interest-free days on purchases?
