intent,utterance
supplementary_card_activate,What steps do I need to take to activate a supplementary Card?
supplementary_card_activate,Is activation necessary for both primary and supplementary Cards?
supplementary_card_activate,"Is activation mandatory for all Cards, including supplementary ones?"
supplementary_card_activate,How do I activate a supplementary Card?
oversea_credit_activate,How do I activate my Credit Card while I'm abroad?
oversea_credit_activate,Can I activate my Credit Card from overseas?
oversea_credit_activate,What options do I have to activate my Credit Card if I'm currently outside Singapore?
oversea_credit_activate,Is there a way to activate my Credit Card internationally?
oversea_credit_activate,How can I activate my Credit Card if I'm not in Singapore?
oversea_credit_activate,Can I use iBanking to activate my Credit Card while overseas?
oversea_credit_activate,Is there a hotline I can call to activate my Credit Card from abroad?
oversea_credit_activate,What's the process for activating my Credit Card if I'm overseas?
oversea_credit_activate,Can I activate my Credit Card using the Customer Service hotline while I'm outside Singapore?
oversea_credit_activate,Are there any alternatives for activating my Credit Card if I'm currently overseas?
request_fee_waiver,How do I request a fee waiver for my account?
request_fee_waiver,Can I request a fee waiver through DBS digibot or Phone Banking?
request_fee_waiver,What are the hours when fee waiver requests are unavailable?
request_fee_waiver,How long does it take to receive a response to my fee waiver request?
request_fee_waiver,What happens if I don't have enough DBS Points for a fee waiver?
request_fee_waiver,Can I use DBS Points to request a fee waiver for Altitude Credit Card or DBS Vantage?
request_fee_waiver,Are there any terms and conditions I need to be aware of for fee waiver requests?
request_fee_waiver,Is there an alternative method to request a fee waiver besides the automated system?
request_fee_waiver,Will I receive confirmation of my fee waiver request via email or SMS?
request_fee_waiver,How soon will the DBS Points be reversed if I use them for a fee waiver?
retrieve_card_statement,How can I get my Card Statements?
retrieve_card_statement,What's the easiest way to retrieve my Card Statements?
retrieve_card_statement,Where can I find my Card Statements?
retrieve_card_statement,How do I access my Card Statements online?
retrieve_card_statement,Is there a digital platform to view my Card Statements?
retrieve_card_statement,What channels can I use to retrieve my Card Statements?
retrieve_card_statement,Can I check my Card Statements through the mobile app?
retrieve_card_statement,Where do I go to see my recent Card transactions?
retrieve_card_statement,Is there a link to access my Card Statements?
retrieve_card_statement,How can I view my Card Statements on digibank mobile?
terminate_card,How do I cancel my Card?
terminate_card,What's the process for cancelling my Card?
terminate_card,Can I terminate my Card through DBS digibot?
terminate_card,Where can I find information on cancelling my Card?
terminate_card,Is there a link to cancel my Card?
terminate_card,"How can I deactivate my Credit, Debit, or ATM Card?"
terminate_card,What steps do I need to take to cancel my Card?
terminate_card,Can I cancel my Card online?
terminate_card,Is there a digital platform to terminate my Card?
terminate_card,How do I terminate my Card using DBS digibot?
terminate_GIRO,How do I cancel my GIRO arrangement?
terminate_GIRO,Can I terminate my GIRO setup online?
terminate_GIRO,What's the process for ending a GIRO arrangement?
terminate_GIRO,Is there a way to stop GIRO payments through digibank Online?
terminate_GIRO,Where can I find information on terminating my GIRO setup?
terminate_GIRO,Can I deactivate GIRO arrangements on digibank Mobile?
terminate_GIRO,How can I remove a GIRO arrangement from my account?
terminate_GIRO,What steps do I need to take to terminate GIRO payments?
terminate_GIRO,Is there a digital platform to cancel GIRO arrangements?
terminate_GIRO,How do I terminate GIRO via digibank Online?
card_upgrade_gold_platinum,How can I upgrade my card from Gold to Platinum?
card_upgrade_gold_platinum,Is it possible to switch from Gold to Platinum?
card_upgrade_gold_platinum,What's the process for upgrading my card?
card_upgrade_gold_platinum,Can I upgrade my Visa to Visa Platinum?
card_upgrade_gold_platinum,How do I request an upgrade from Gold to Platinum?
card_upgrade_gold_platinum,What documents do I need to provide for a card upgrade?
card_upgrade_gold_platinum,Is there a specific form I need to fill out for an upgrade?
card_upgrade_gold_platinum,Can I upgrade my card by writing to you?
card_upgrade_gold_platinum,How long does it take to get approval for a card upgrade?
card_upgrade_gold_platinum,When can I expect to receive my new card after the upgrade is approved?
credit_card_payment,What does the credit card payment feature on digibank app do?
credit_card_payment,Can I use digibank app to pay my credit card bills?
credit_card_payment,What's the purpose of credit card payment option on digibank app?
credit_card_payment,Does the digibank app support credit card payments?
credit_card_payment,How do I make credit card payments using digibank app?
credit_card_payment,Can I pay credit card bills from other banks using digibank app?
credit_card_payment,Is the credit card payment function on digibank app for DBS cards only?
credit_card_payment,What cards can I pay using the credit card payment option on digibank app?
credit_card_payment,Is it possible to settle credit card dues from different banks on digibank app?
credit_card_payment,Where can I find the credit card payment feature on digibank app?
digibank_app_card_payment,Can I use digibank app to pay credit card bills from any bank?
digibank_app_card_payment,Which banks' credit cards can I pay through digibank app?
digibank_app_card_payment,Is it possible to make credit card payments for all banks using digibank app?
digibank_app_card_payment,Can I settle credit card dues from other banks on digibank app?
digibank_app_card_payment,Which all banks' credit card payments are supported on digibank app?
digibank_app_card_payment,Is there a list of banks whose credit cards can be paid via digibank app?
digibank_app_card_payment,How do I know if I can pay a particular bank's credit card through digibank app?
digibank_app_card_payment,Is the credit card payment option on digibank app restricted to DBS cards only?
digibank_app_card_payment,Can I check the list of banks for credit card payments on digibank app?
digibank_app_card_payment,Where can I find information about which banks' credit cards I can pay through digibank app?
credit_card_payment_reflect,When will my credit card payment show up in my account?
credit_card_payment_reflect,How long does it usually take for credit card payments to reflect?
credit_card_payment_reflect,Can you tell me the timeframe for payment to appear in my credit card account?
credit_card_payment_reflect,What's the typical processing time for credit card payments to show?
credit_card_payment_reflect,How much time does it take for payments to be reflected on my credit card statement?
credit_card_payment_reflect,When can I expect my credit card payment to be updated in my account?
credit_card_payment_reflect,Is there a specific time frame for credit card payments to be processed?
credit_card_payment_reflect,Can you explain when I can expect to see my payment reflected in my credit card account?
credit_card_payment_reflect,What's the turnaround time for credit card payments to appear on my account?
credit_card_payment_reflect,How soon after making a payment will it be reflected in my credit card statement?
credit_card_payment_processing,Why does it take 3 days for processing payments?
credit_card_payment_processing,Can you explain the 3-day processing time?
credit_card_payment_processing,Why is there a 3-day processing period?
credit_card_payment_processing,What's the reason behind the 3-day processing timeframe?
credit_card_payment_processing,Can you clarify why it takes 3 working days for processing?
credit_card_payment_processing,Why the need for a 3-day processing period?
credit_card_payment_processing,Can you provide more information on the 3-day processing delay?
credit_card_payment_processing,What causes the 3-day processing delay?
credit_card_payment_processing,Why is there a 3-working-day processing timeline?
credit_card_payment_processing,Can you elaborate on the reasons for the 3-day processing duration?
credit_card_payment_maximum_limit,Is there a maximum limit for processing transactions?
credit_card_payment_maximum_limit,What's the maximum amount I can process in a transaction?
credit_card_payment_maximum_limit,Can you tell me the limit for processing transactions?
credit_card_payment_maximum_limit,Is there a cap on the transaction processing limit?
credit_card_payment_maximum_limit,What's the maximum amount allowed for transaction processing?
credit_card_payment_maximum_limit,Can you clarify the maximum limit for processing transactions?
credit_card_payment_maximum_limit,Is there a restriction on how much I can process in a transaction?
credit_card_payment_maximum_limit,Can you explain if there's a maximum limit for transaction processing?
credit_card_payment_maximum_limit,What's the highest amount I can process in a single transaction?
credit_card_payment_maximum_limit,Can you provide information on the transaction processing limit?
credit_card_pay_outstanding,How do I settle my credit card outstanding using digibank?
credit_card_pay_outstanding,Can I make credit card payments on digibank?
credit_card_pay_outstanding,What's the process for paying my credit card bill through digibank?
credit_card_pay_outstanding,Is it possible to clear my credit card dues via digibank?
credit_card_pay_outstanding,How can I use digibank to pay off my credit card balance?
credit_card_pay_outstanding,Can I transfer funds to pay my credit card bill on digibank?
credit_card_pay_outstanding,What's the method for making credit card payments through digibank?
credit_card_pay_outstanding,Is there an option to pay my credit card outstanding with digibank?
credit_card_pay_outstanding,Can I manage my credit card payments through digibank?
credit_card_pay_outstanding,How do I access the feature to pay my credit card bill on digibank?
account_suspended,Why has my account been suspended?
account_suspended,Can you explain why my account(s) are suspended?
account_suspended,What's the reason for my account(s) being suspended?
account_suspended,Why am I unable to access my account(s)?
account_suspended,Can you clarify why my account(s) have been suspended?
account_suspended,What caused the suspension of my account(s)?
account_suspended,Is there a specific reason for the suspension of my account(s)?
account_suspended,Why have my accounts been temporarily blocked?
account_suspended,Can you provide information on the suspension of my account(s)?
account_suspended,What led to the suspension of my account(s)?
total_outstanding_balance,How is my total outstanding balance calculated?
total_outstanding_balance,Can you explain how the total outstanding balance is determined?
total_outstanding_balance,What factors contribute to the total outstanding balance?
total_outstanding_balance,How do you derive the total outstanding balance?
total_outstanding_balance,Is there a specific method for calculating the total outstanding balance?
total_outstanding_balance,Can you clarify what constitutes the total outstanding balance?
total_outstanding_balance,What is included in the total outstanding balance?
total_outstanding_balance,How do you determine the total outstanding balance on my account?
total_outstanding_balance,Can you provide information on how the total outstanding balance is calculated?
total_outstanding_balance,What makes up the total outstanding balance on my account?
reinstate_account,How can I reinstate my suspended account?
reinstate_account,What steps do I need to take to lift the suspension on my account?
reinstate_account,Can you tell me how to restore my suspended account?
reinstate_account,What should I do to reinstate my account after suspension?
reinstate_account,How do I lift the suspension on my account?
reinstate_account,Is there a process to follow to reinstate my account?
reinstate_account,Can you guide me on reinstating my account after suspension?
reinstate_account,What actions can I take to reactivate my suspended account?
reinstate_account,How do I go about restoring access to my suspended account?
reinstate_account,Can you provide instructions on reinstating my account?
reduce_credit_limit_by_bank,Can the Bank lower my credit limit without telling me first?
reduce_credit_limit_by_bank,Is it possible for the Bank to reduce my credit limit without notice?
reduce_credit_limit_by_bank,Can the Bank change my credit limit without informing me beforehand?
reduce_credit_limit_by_bank,Is there a chance my credit limit could be decreased without warning?
reduce_credit_limit_by_bank,Can the Bank revise my credit limit without prior notice?
reduce_credit_limit_by_bank,Is it within the Bank's rights to decrease my credit limit suddenly?
reduce_credit_limit_by_bank,Can my credit limit be adjusted by the Bank without giving me notice?
reduce_credit_limit_by_bank,Is there a possibility my credit limit might be lowered unexpectedly?
reduce_credit_limit_by_bank,Can the Bank reduce my credit limit without warning me in advance?
reduce_credit_limit_by_bank,Is there a chance my credit limit could be changed without prior notice?
my_preferred_payment-plans,What happens to my current instalment plans?
my_preferred_payment-plans,Will my existing balance transfers be affected?
my_preferred_payment-plans,What about my preferred payment plans?
my_preferred_payment-plans,Any changes to my current instalment arrangements?
my_preferred_payment-plans,Will my balance transfer plans stay the same?
my_preferred_payment-plans,How about my preferred payment options?
my_preferred_payment-plans,Can you tell me what will happen to my instalment plans?
my_preferred_payment-plans,Will my balance transfer arrangements be impacted?
my_preferred_payment-plans,What's the status of my preferred payment plans?
my_preferred_payment-plans,Can you clarify the situation with my existing payment arrangements?
debit_card_charges,What are the charges for DBS Debit Card?
debit_card_charges,Can you tell me the fees associated with DBS Debit Card?
debit_card_charges,How much does DBS Debit Card cost?
debit_card_charges,What's the frequency of charges for DBS Debit Card?
debit_card_charges,When are the charges for DBS Debit Card applied?
debit_card_charges,Can you clarify when DBS Debit Card charges are incurred?
debit_card_charges,When was the communication sent by the bank regarding these charges?
debit_card_charges,Can you provide information on the communication about DBS Debit Card charges?
debit_card_charges,When did DBS send out the notification about the charges for Debit Card?
debit_card_charges,What email address did DBS use to inform customers about the charges for Debit Card?
debit_card_GST,How much is the GST for the annual debit card charges?
debit_card_GST,Can you tell me the GST amount for the debit card charges?
debit_card_GST,What is the GST percentage for the debit card fees?
debit_card_GST,How do I calculate the GST on my debit card charges?
debit_card_GST,What's the total amount including GST for the annual debit card fees?
debit_card_GST,Can you clarify the GST component for the debit card charges?
debit_card_GST,What's the GST rate applied to the debit card charges?
debit_card_GST,How much GST do I need to pay for the annual debit card fees?
debit_card_GST,Is the GST amount included in the total debit card charges?
debit_card_GST,Can you explain how the GST is calculated for debit card fees?
debit_card_annual_fee,Will the annual charges for my debit card increase?
debit_card_annual_fee,Can I expect the annual fees to go up in the future?
debit_card_annual_fee,Are there any plans to raise the annual charges later on?
debit_card_annual_fee,Will the debit card fees be higher in the future?
debit_card_annual_fee,Can you tell me if there will be an increase in the annual charges?
debit_card_annual_fee,Are there any future plans to raise the annual debit card fees?
debit_card_annual_fee,Can I anticipate an increase in the annual charges?
debit_card_annual_fee,Will there be any changes to the annual fees in the future?
debit_card_annual_fee,Can you confirm if the annual charges will remain the same?
debit_card_annual_fee,Are there any intentions to hike the annual charges down the line?
debit_card_waiver,Why have I started being charged for debit card fees now?
debit_card_waiver,Can you explain why I'm being charged for debit card fees all of a sudden?
debit_card_waiver,I haven't been charged debit card fees before. Why now?
debit_card_waiver,What's the reason behind the sudden debit card charges?
debit_card_waiver,Can I request a waiver for the debit card charges?
debit_card_waiver,Is it possible to apply for a waiver on the debit card fees?
debit_card_waiver,Can you waive off the charges for my debit card?
debit_card_waiver,Are there any exemptions available for the debit card charges?
debit_card_waiver,Can I get the debit card charges waived due to being a long-time customer?
debit_card_waiver,Is there any way to avoid paying the debit card fees?
debit_card_replacement_fee,Will I be charged for all the debit cards I've used?
debit_card_replacement_fee,Do I have to pay charges for each debit card I've used?
debit_card_replacement_fee,Am I going to be billed for every debit card I've used?
debit_card_replacement_fee,Will I incur charges for multiple debit cards?
debit_card_replacement_fee,Do I need to pay extra for getting a replacement card?
debit_card_replacement_fee,Will there be an additional charge for a replacement card?
debit_card_replacement_fee,Am I going to be charged separately for replacement cards?
debit_card_replacement_fee,Do I have to pay extra for getting a new debit card?
debit_card_replacement_fee,Will there be charges for replacing my debit card?
debit_card_replacement_fee,Do I need to pay for all the replacement debit cards I've requested?
debit_card_charges,Will I still be charged if my card is blocked and unused?
debit_card_charges,Do I have to pay even if my card is blocked and not in use?
debit_card_charges,Am I going to be charged for a card I haven't used?
debit_card_charges,Will I incur charges if I haven't used my card?
debit_card_charges,Do I need to pay the annual fees if my card is inactive?
debit_card_charges,Will there be charges if my card is blocked and unused?
debit_card_charges,What happens if I haven't requested a replacement card yet?
debit_card_charges,Will I be charged if I haven't used or requested a new card?
debit_card_charges,Do I need to pay if my card is blocked and I haven't replaced it?
debit_card_charges,Am I still liable for charges if my card is inactive and blocked?
debit_card_international_usage_fee,Why should I pay charges if my digibank Debit Card isn't usable on all international websites?
debit_card_international_usage_fee,Can you explain why I need to pay fees if my digibank Debit Card doesn't work on all international sites?
debit_card_international_usage_fee,What's the reason for charging me if my digibank Debit Card isn't operational on every international website?
debit_card_international_usage_fee,Why am I being charged if my digibank Debit Card doesn't function on certain international websites?
debit_card_international_usage_fee,Can you justify the charges if my digibank Debit Card isn't accepted on all international sites?
debit_card_international_usage_fee,Why do I have to pay fees when my digibank Debit Card isn't fully functional internationally?
debit_card_international_usage_fee,What benefits do I get for the charges if my digibank Debit Card has limitations on international websites?
debit_card_international_usage_fee,Can you explain what I'm paying for if my digibank Debit Card isn't operational everywhere?
debit_card_international_usage_fee,Why should I continue paying if my digibank Debit Card isn't usable on certain international platforms?
debit_card_international_usage_fee,Can you clarify why I'm being charged despite limitations on using my digibank Debit Card internationally?
free_debit_card,Can I get additional features with my debit card?
free_debit_card,Are there any extra benefits included with my debit card?
free_debit_card,Can I upgrade my account for more debit card features?
free_debit_card,Is there an account option with a complimentary debit card?
free_debit_card,Can I get a free debit card with my account?
free_debit_card,Are there any account packages offering free debit cards?
free_debit_card,What other features can I get with my digibank Debit Card?
free_debit_card,Can I customize my debit card with additional features?
free_debit_card,Do you offer accounts with enhanced debit card benefits?
free_debit_card,How can I request additional features for my debit card?
debit_card_charges_feedback,How can I provide feedback about the annual debit card charges?
debit_card_charges_feedback,Is there a way to share my thoughts on the debit card fees?
debit_card_charges_feedback,Can I give feedback regarding the charges for my debit card?
debit_card_charges_feedback,Where can I send my comments about the annual fees?
debit_card_charges_feedback,How do I share my feedback about the debit card charges?
debit_card_charges_feedback,Can I express my opinions about the annual charges?
debit_card_charges_feedback,Where should I send my feedback about the debit card fees?
debit_card_charges_feedback,Is there a platform to voice my concerns about the charges?
debit_card_charges_feedback,How can I give my feedback on the debit card annual fees?
debit_card_charges_feedback,Can I provide feedback about the charges for my debit card?
debit_card_benefit,What perks come with the debit card?
debit_card_benefit,Can you tell me about the advantages of having the debit card?
debit_card_benefit,What benefits does the debit card offer?
debit_card_benefit,What are the features of the debit card?
debit_card_benefit,Could you explain the advantages of using the debit card?
debit_card_benefit,What privileges do I enjoy with the debit card?
debit_card_benefit,Can you elaborate on the benefits of having the debit card?
debit_card_benefit,What are the perks associated with the debit card?
debit_card_benefit,How does the debit card benefit me?
debit_card_benefit,Could you detail the advantages of using the debit card?
digibank_reward,Where can I find the rewards for digibank?
digibank_reward,Can you tell me about the perks of using digibank?
digibank_reward,What rewards are available with digibank?
digibank_reward,How can I access the latest offers with digibank?
digibank_reward,Where can I check for the deals and rewards with digibank?
digibank_reward,Can you provide information on the rewards program for digibank?
digibank_reward,How do I know what rewards I can get with digibank?
digibank_reward,Where can I find the current promotions and rewards with digibank?
digibank_reward,Can you guide me to the page for digibank rewards and offers?
digibank_reward,What kind of benefits can I expect from digibank?
visa_tap_pay,Can you explain what Visa Tap to Pay is?
visa_tap_pay,What exactly is Visa Tap to Pay?
visa_tap_pay,Could you tell me about the new Visa Tap to Pay feature?
visa_tap_pay,How does Visa Tap to Pay work?
visa_tap_pay,What does Visa Tap to Pay offer?
visa_tap_pay,Can you give me details on Visa Tap to Pay?
visa_tap_pay,What are the benefits of using Visa Tap to Pay?
visa_tap_pay,Could you elaborate on Visa Tap to Pay?
visa_tap_pay,How do I use Visa Tap to Pay?
visa_tap_pay,Can you provide more information about Visa Tap to Pay?
